제품ID,제품명,대분류,브랜드,정가,할인율,판매가,리뷰점수,리뷰수,제품URL,이미지URL,가로_W(mm),높이_H(mm),깊이_D(mm),소분류,카테고리코드,재고,쿠폰할인,타임세일,벤더사,가격_등급,가성비_점수,실구매가_추정,인기도_점수,리뷰_신뢰도,소재_등급,천연소재_여부,친환경_여부,관리_용이성,브랜드_등급,브랜드_원산지,색상_계열,디자인_스타일,점유면적(cm²),크기_등급,침대_사이즈,소파_인원수,식탁_인원수,무료배송_여부,설치포함_여부,배송_편의점수,1인가구_적합도,신혼부부_적합도,대가족_적합도,공간절약형_적합도,재고_여부,반려동물_적합도,A/S 책임자와 전화번호,KC 인증 필 유무,구성품,"배송,설치비용",색상,제조국,제조자,주요 소재,크기,품명,품질보증기준
G25070004683,루체 리클라이너 4인소파 (컬러 택1),소파,까사미아,2590000,46,1398600,5,1,https://homestyle.lge.co.kr/item?productId=G25070004683,https://static-store.lge.co.kr/goods/org/176250729000023176.jpg,2610,967,973,일반소파,2506000070,136,Y,N,(주)신세계까사,저가,2.46,1398600,98.9,0.2065,프리미엄,TRUE,TRUE,4,중급,국내,화이트계,모던 클래식,2540,소,,4,,FALSE,FALSE,0,3,3,2,3,있음,3,까사미아 고객센터 1588-3408,[생활용품] 안전인증 JU10254-23002,루체 리클라이너 4인소파 (컬러 택1),상세페이지 참조,"크림, 토프",중국,까사미아 OEM,"[가죽] 이탈리아 ZINIS 社 탑그레인 피그먼트 가죽 (1.3-1.5mm), PVC [내장재] PU폼, 화이버, 엘라스틱 밴드, S-스프링, E0합판, 소나무 원목 각재 [하드웨어] OKIN社 메커니즘 프레임  [다리] 플라스틱",W261 X D97.3 X H96.7cm,루체 리클라이너 4인소파 (컬러 택1),소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070004685,루체 4인소파 (컬러 택1),소파,까사미아,2190000,46,1182600,0,0,https://homestyle.lge.co.kr/item?productId=G25070004685,https://static-store.lge.co.kr/goods/org/286251020000083286.jpg,2620,905,955,일반소파,2506000070,104,Y,N,(주)신세계까사,저가,0,1182600,49.1,0,프리미엄,TRUE,TRUE,5,중급,국내,화이트계,모던 클래식,2502,소,,4,,FALSE,FALSE,0,3,3,2,3,있음,5,까사미아 고객센터 1588-3408,-,루체 4인소파 (컬러 택1),상세페이지 참조,"크림, 토프",중국,까사미아 OEM,"[가죽] 이탈리아 ZINIS 社 탑그레인 피그먼트 가죽 (1.3-1.5mm), PVC [내장재] PU폼, 화이버, 엘라스틱 밴드, S-스프링, E0합판, 소나무 원목 각재 [다리] 스틸",W262 X D95.5 X H90.5cm,루체 4인소파 (컬러 택1),소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070005741,벨로씨 럭스 천연면피 가죽 소파 4인 (컬러 택1),소파,까사미아,1500000,23,1147500,5,1,https://homestyle.lge.co.kr/item?productId=G25070005741,https://static-store.lge.co.kr/goods/org/103/251125000104103.jpg,2800,910,1010,일반소파,2506000070,42,Y,N,(주)신세계까사,저가,2.49,1147500,98.9,0.2065,프리미엄,TRUE,TRUE,5,중급,국내,화이트계,모던 클래식,28280,대,,4,,FALSE,FALSE,0,1,3,4,1,있음,5,벨로씨 고객센터 070-7701-7271,#NAME?,4인 소파,상품상세 참조,"크림 아이보리, 라이트 그레이",중국,벨로씨OEM,"[마감재] 천연면피 소가죽+합성가죽 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",W2800 X D1010 X H910mm,럭스(LUX) 천연면피 가죽 소파 4인용,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070005382,에르네 마블 사이드테이블,식탁·테이블,까사미아,610000,10,549000,0,0,https://homestyle.lge.co.kr/item?productId=G25070005382,https://static-store.lge.co.kr/goods/org/085250729000027085.jpg,500,500,500,사이드테이블,2506000067,75,Y,N,(주)신세계까사,저가,0,549000,49.6,0,프리미엄,TRUE,FALSE,5,중급,국내,화이트계,모던 클래식,2500,소,,,1,FALSE,FALSE,0,3,2,0,3,있음,3,까사미아 고객센터 1588-3408,안전기준준수,에르네 마블 사이드테이블,상세페이지 참조,[상판]아이보리 [프레임]브라운,중국,까사미아OEM,"[상판]천연대리석 18T [프레임]애쉬원목, 스틸 플레이트",W50 X D50 X H50cm,에르네 마블 사이드테이블,소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070006430,일상고백 히치 세라믹 원목 4인 식탁세트 A형 (벤치의자 950＋원목의자 2EA),식탁·테이블,까사미아,856000,57,362700,5,1,https://homestyle.lge.co.kr/item?productId=G25070006430,https://static-store.lge.co.kr/goods/org/105250729000032105.jpg,1400,730,800,식탁,2506000065,873,Y,N,(주)신세계까사,저가,5.45,362700,99.6,0.2065,미분류,FALSE,FALSE,3,중급,국내,우드·브라운계,기타,11200,중,,,4,FALSE,FALSE,0,1,0,1,1,있음,0,상세페이지 참고,안전기준 준수,"세라믹 원목 테이블 1400(1), 원목의자(2), 벤치 950(1)",상세페이지 참고,내추럴,중국,리빙디자인연구소,상세페이지 참조,"식탁 : W1400 * D800 * H730, 의자 : W460 * D460 * H890, 벤치 : W950 * D350 * H450 (mm)",세라믹 원목 4인 식탁세트 (벤치1+원목의자2),상세페이지 참고
G25070004643,브로도 세라믹식탁 4인세트_체어4EA,식탁·테이블,까사미아,1320000,32,891000,0,0,https://homestyle.lge.co.kr/item?productId=G25070004643,https://static-store.lge.co.kr/goods/org/748/250806000034748.jpg,1300,740,796,식탁,2506000065,94,Y,N,(주)신세계까사,중저가,0,891000,49.6,0,프리미엄,TRUE,FALSE,5,중급,국내,화이트계,모던 클래식,10348,중,,,4,FALSE,FALSE,0,1,2,1,1,있음,2,까사미아 고객센터 1566-0228,안전기준준수,까사미아 브로도 세라믹식탁1300 + 체어4EA,배송안내 참조,"[세라믹식탁1300] 상판-화이트 대리석 패턴, 다리-블랙 [체어] 좌판-그레이 , 다리-블랙",중국,까사미아OEM,[세라믹식탁  1300 ] 상판 - 12T 포세린세라믹 다리 - 철재 분체도장  [체어] 좌판 - 패브릭 다리 - 철재 분체도장,세라믹 식탁 1300 - W1300 X D796 X H740 체어 - W450 X D550 X H820,까사미아 브로도 세라믹식탁1300 + 체어4EA,소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070005750,일상고백 다온 아쿠아텍스 소파,소파,까사미아,499000,42,287100,0,0,https://homestyle.lge.co.kr/item?productId=G25070005750,https://static-store.lge.co.kr/goods/org/050251020000078050.jpg,1690,750,970,일반소파,2506000070,491,Y,N,(주)신세계까사,저가,0,287100,49.1,0,일반,FALSE,FALSE,5,중급,국내,그레이계,인더스트리얼,16393,중,,,,FALSE,FALSE,0,1,0,0,1,있음,2,상세페이지 참고,해당없음,소파1 +스툴1,상세페이지 참고,그레이,중국,리빙디자인연구소,"마감재 : ACL 아쿠아패브릭 (발수기능O/방수X), 스틸다리 : 정제목 프레임 엘라스틱밴드",소파 : W1690 x D970 x H750~900 (mm) 스툴 : W700 x D970 x H400 (mm),다온 3인 소파,상세페이지 참고
G25070001901,아이콘 콘솔 우드 선반 수납장,화장대·콘솔,드비저리,790000,15,671500,0,0,https://homestyle.lge.co.kr/item?productId=G25070001901,https://static-store.lge.co.kr/goods/org/981/250723000005981.jpg,1000,740,300,콘솔,2506000113,999999,Y,N,오하이,저가,5,671500,51.6,0,프리미엄,TRUE,FALSE,5,일반,국내,우드·브라운계,내추럴 우드,3000,미정,,,,FALSE,FALSE,0,1,2,0,3,있음,3,드비저리 고객센터 010-8261-5957,해당 사항 없음,콘솔,상세페이지 하단 참조,우드(월넛),베트남,de Bejarry,"원목, 스테인리스 스틸",W100 x D 30 x H 74 cm,아이콘 콘솔 우드,상세페이지 하단 참조
G25070004688,NEW 옴므 1인 리클라이너_화이트,소파,까사미아,715000,29,501900,0,0,https://homestyle.lge.co.kr/item?productId=G25070004688,https://static-store.lge.co.kr/goods/org/204250729000023204.jpg,770,900,750,일반소파,2506000070,119,Y,N,(주)신세계까사,저가,0,501900,49.1,0,프리미엄,TRUE,FALSE,5,중급,국내,화이트계,모던 클래식,5775,소,,1,,FALSE,FALSE,0,4,2,0,3,있음,4,까사미아 고객센터 1588-3408,-,옴므 1인 리클라이너_화이트,상세 PAGE 참조,화이트,중국,까사미아OEM,"[가죽] TG 천연 소가죽 외피 (두께 1~1.1mm)+ PVC [프레임 ] 플라이우드(함수율 8~12% ) [내장재 ] D30kg/㎥ PU스펀지 , S자 스프링 [다리] 스틸 (satin 마감)",W770X D750-1100 X H900-1000(SH440)mm,옴므 1인 리클라이너_화이트,소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070004687,NEW 옴므 1인 리클라이너_라이트그레이,소파,까사미아,715000,29,501900,0,0,https://homestyle.lge.co.kr/item?productId=G25070004687,https://static-store.lge.co.kr/goods/org/198250729000023198.jpg,770,900,750,일반소파,2506000070,230,Y,N,(주)신세계까사,저가,0,501900,49.1,0,프리미엄,TRUE,FALSE,5,중급,국내,그레이계,모던 미니멀,5775,소,,1,,FALSE,FALSE,0,4,2,0,3,있음,4,까사미아 고객센터 1588-3408,-,옴므 1인 리클라이너_라이트그레이,상세 PAGE 참조,라이트그레이,중국,까사미아OEM,"[가죽] TG 천연 소가죽 외피 (두께 1~1.1mm)+ PVC [프레임 ] 플라이우드(함수율 8~12% ) [내장재 ] D30kg/㎥ PU스펀지 , S자 스프링 [다리] 스틸 (satin 마감)",W770X D750-1100 X H900-1000(SH440)mm,옴므 1인 리클라이너_라이트그레이,소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070006395,벨로씨 럭스 기능성 패브릭 소파 4인,소파,까사미아,1290000,30,891000,0,0,https://homestyle.lge.co.kr/item?productId=G25070006395,https://static-store.lge.co.kr/goods/org/005/251218000120005.jpg,2800,910,1010,일반소파,2506000070,92,Y,N,(주)신세계까사,저가,0,891000,49.1,0,일반,FALSE,TRUE,5,중급,국내,화이트계,클래식,28280,대,,4,,FALSE,FALSE,0,1,1,4,1,있음,3,벨로씨 고객센터 070-7701-7271,#NAME?,4인 소파,상품상세 참조,클라우드 화이트,중국,벨로씨OEM,"[마감재] 패브릭 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",W2800 X D1010 X H910mm,럭스 기능성 패브릭 소파 4인용,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070005739,벨로씨 럭스 천연면피 가죽 소파 4인＋스툴,소파,까사미아,1798000,23,1375400,0,0,https://homestyle.lge.co.kr/item?productId=G25070005739,https://static-store.lge.co.kr/goods/org/107/251125000104107.jpg,2800,910,1010,일반소파,2506000070,977,Y,N,(주)신세계까사,저가,0,1375400,49.1,0,프리미엄,TRUE,TRUE,5,중급,국내,화이트계,모던 클래식,28280,대,,4,,FALSE,FALSE,0,1,3,4,1,있음,5,벨로씨 고객센터 070-7701-7271,#NAME?,4인 소파 + 스툴,상품상세 참조,"크림 아이보리, 라이트 그레이",중국,벨로씨OEM,"[마감재] 천연면피 소가죽+합성가죽 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",[4인] W2800 X D1010 X H910mm / [스툴] W725 X D655 X H430mm,럭스(LUX) 천연면피 가죽 소파 4인용+스툴,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070004652,뉴로브 에센셜 드레스룸 와이드서랍장,책장·수납장,까사미아,540000,14,461700,0,0,https://homestyle.lge.co.kr/item?productId=G25070004652,https://static-store.lge.co.kr/goods/org/750/250806000034750.jpg,1180,820,528,서랍장,2506000107,1,Y,N,(주)신세계까사,중가,0,461700,49.8,0,일반,FALSE,TRUE,3,중급,국내,화이트계,클래식,623,소,,,,FALSE,FALSE,0,3,0,1,2,있음,1,까사미아 고객상담실/1588-3408,안전기준준수,뉴로브 에센셜 드레스룸 와이드서랍장,상세페이지 참조,클라우드 라이트그레이,대한민국,까사미아 OEM,바디: E0급 15T PB + 선함침지 + 1T ABS엣지 서랍앞판: E0 15T PB + 선함침지 + 1T ABS 엣지 레일 : 국산 철레일 서랍재: E0 15T PB + 선함침지 + 0.6 ABS 엣지,W118.4 X D52.8 X H82cm,뉴로브 에센셜 드레스룸 와이드서랍장,소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070004584,캄포미니 4인소파_아이보리,소파,까사미아,1990000,25,1492500,5,1,https://homestyle.lge.co.kr/item?productId=G25070004584,https://static-store.lge.co.kr/goods/org/648250729000022648.jpg,2670,600,950,일반소파,2506000070,347,N,N,(주)신세계까사,저가,2.44,1492500,98.9,0.2065,미분류,FALSE,FALSE,3,중급,국내,화이트계,기타,25365,대,,4,,FALSE,FALSE,0,1,1,3,1,있음,0,까사미아 고객센터 1588-3408,안전기준준수,모듈소파 2EA + 암리스 1EA,상세페이지 참조,아이보리,중국,까사미아OEM,상세페이지 참조,W2670 X D950 X H600-950mm,캄포미니 4인소파_아이보리,"정상적인 사용 범위에서 발생한 품질, 성능 등 제조상 하자에 대하여 3년간 무상 A/S (상품 인도일 기준, 일부 사용상 하자 제외, 그 외 보증 범위가 없는 경우 소비자 분쟁 해결 기준에 따름)"
G25070005767,일상고백 클라로 옷장,책장·수납장,까사미아,149000,22,116100,0,0,https://homestyle.lge.co.kr/item?productId=G25070005767,https://static-store.lge.co.kr/goods/org/991251020000077991.jpg,800,1880,575,서랍장,2506000110,9963,Y,N,(주)신세계까사,저가,0,116100,49.8,0,일반,FALSE,FALSE,5,중급,국내,화이트계,클래식,4600,중,,,,FALSE,FALSE,0,1,0,0,1,있음,3,상세페이지 참조,#NAME?,옷장1,상세페이지 참조,화이트,대한민국,(주)리빙디자인연구소OEM,"PB, MDF, 스틸경첩 외",W800*D575*H1880,클라로 옷장,상세페이지 참조
G25070005766,일상고백 클라로 서랍형옷장,책장·수납장,까사미아,179000,25,134100,0,0,https://homestyle.lge.co.kr/item?productId=G25070005766,https://static-store.lge.co.kr/goods/org/182250729000029182.jpg,800,1880,575,서랍장,2506000110,9904,Y,N,(주)신세계까사,저가,0,134100,49.8,0,일반,FALSE,FALSE,5,중급,국내,화이트계,클래식,4600,중,,,,FALSE,FALSE,0,1,0,0,1,있음,3,상세페이지 참고,#NAME?,서랍형 옷장1,상세페이지 참고,화이트,대한민국,리빙디자인연구소,"PB, MDF, 스틸경첩",W800*D575*H1880(mm),클라로 서랍형 옷장1,상세페이지 참고
G25070005164,리에트 체어_내추럴,의자,까사미아,260000,55,117000,0,0,https://homestyle.lge.co.kr/item?productId=G25070005164,https://static-store.lge.co.kr/goods/org/602251020000080602.jpg,510,758,545,인테리어의자,2506000083,172,Y,N,(주)신세계까사,저가,0,117000,50,0,프리미엄,TRUE,FALSE,3,중급,국내,우드·브라운계,내추럴 우드,2780,중,,,,FALSE,FALSE,0,1,2,0,1,있음,0,까사미아 고객센터 1588-3408,안전기준준수,리에트 체어_내추럴,상세페이지 참조,내추럴,중국,까사미아OEM,"애쉬 원목, PU",W510 X D545 X H758(SH443)mm,리에트 체어_내추럴,소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070004552,캄포패밀리 3인소파_아이보리,소파,까사미아,2200000,37,1386000,0,0,https://homestyle.lge.co.kr/item?productId=G25070004552,https://static-store.lge.co.kr/goods/org/537/251216000119537.jpg,2200,850,920,일반소파,2506000070,75,Y,N,(주)신세계까사,저가,0,1386000,49.1,0,미분류,FALSE,FALSE,3,중급,국내,화이트계,기타,20240,대,,3,,FALSE,FALSE,0,1,1,3,1,있음,0,까사미아 고객센터 1588-3408,안전기준준수,캄포패밀리 3인소파_아이보리,상세페이지 참조,아이보리,중국,까사미아OEM,상세페이지 참조,W220 X D92 X H85 cm,캄포패밀리 3인소파_아이보리,"정상적인 사용 범위에서 발생한 품질, 성능 등 제조상 하자에 대하여 3년간 무상 A/S (상품 인도일 기준, 일부 사용상 하자 제외, 그 외 보증 범위가 없는 경우 소비자 분쟁 해결 기준에 따름)"
G25070004684,루체 리클라이너 3인소파 (컬러 택1),소파,까사미아,2090000,46,1128600,0,0,https://homestyle.lge.co.kr/item?productId=G25070004684,https://static-store.lge.co.kr/goods/org/182250729000023182.jpg,1840,967,973,일반소파,2506000070,126,Y,N,(주)신세계까사,저가,0,1128600,49.1,0,프리미엄,TRUE,TRUE,4,중급,국내,화이트계,모던 클래식,1790,소,,3,,FALSE,FALSE,0,3,3,2,3,있음,3,까사미아 고객센터 1588-3408,[생활용품] 안전인증 JU10254-23002,루체 리클라이너 3인소파 (컬러 택1),상세페이지 참조,"크림, 토프",중국,까사미아 OEM,"[가죽] 이탈리아 ZINIS 社 탑그레인 피그먼트 가죽 (1.3-1.5mm), PVC [내장재] PU폼, 화이버, 엘라스틱 밴드, S-스프링, E0합판, 소나무 원목 각재 [하드웨어] OKIN社 메커니즘 프레임  [다리] 플라스틱",W184 X D97.3 X H96.7cm,루체 리클라이너 3인소파 (컬러 택1),소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
